Year,Month,Sales,logSales,c348,s348,c432,s432,Dynamic
2011,12,5642,8.6379938916,-0.992114701,-0.125333234,-0.425779292,-0.904827052,1
2012,1,5889,8.6808414829,0.6753328081,-0.737513117,0.762442511,0.6470559616,1
2012,2,7728,8.9526053759,0.2120071099,0.9772681236,-0.962027672,-0.272951936,1
2012,3,7757,8.9563509405,-0.920231847,-0.391373667,0.9886517447,-0.150225589,1
2012,4,6811,8.8262942312,0.8509944818,-0.52517463,-0.83752804,0.5463943467,1
2012,5,6667,8.8049252626,-0.06279052,0.9980267284,0.535826795,-0.844327926,1
2012,6,6658,8.8035744181,-0.778462302,-0.627691361,-0.137790291,0.9904614257,1
2012,7,6411,8.765770544,0.9620276716,-0.272951936,-0.285019262,-0.958521789,1
2012,8,7237,8.8869620349,-0.332819545,0.9429905359,0.6565857558,0.7542513807,1
2012,9,6383,8.7613934853,-0.577572703,-0.816339251,-0.910105971,-0.414375581,1
2012,10,6450,8.7718354098,1,-5.6836e-14,1,-5.48741e-14,1
2012,11,6167,8.726967775,-0.577572703,0.8163392507,-0.910105971,0.414375581,1
2012,12,6070,8.7111138841,-0.332819545,-0.942990536,0.6565857558,-0.754251381,1
2013,1,6776,8.8211422363,0.9620276716,0.2729519355,-0.285019262,0.958521789,1
2013,2,8422,9.0386026087,-0.778462302,0.6276913613,-0.137790291,-0.990461426,1
2013,3,8288,9.0225639645,-0.06279052,-0.998026728,0.535826795,0.8443279255,1
2013,4,7460,8.9173106932,0.8509944818,0.52517463,-0.83752804,-0.546394347,1
2013,5,7251,8.8888946694,-0.920231847,0.3913736668,0.9886517447,0.1502255891,1
2013,6,7039,8.8592213936,0.2120071099,-0.977268124,-0.962027672,0.2729519355,1
2013,7,7041,8.8595054845,0.6753328081,0.7375131174,0.762442511,-0.647055962,1
2013,8,7360,8.9038152117,-0.992114701,0.1253332336,-0.425779292,0.9048270525,1
2013,9,6330,8.7530555151,0.4707039322,-0.882291226,0.0125660399,-0.999921044,1
2013,10,6782,8.8220273227,0.4483832161,0.8938414242,0.4029064357,0.9152411726,1
2013,11,6281,8.7452844825,-0.988651745,-0.150225589,-0.745941145,-0.666011867,1
2013,12,5685,8.6455864062,0.6936533058,-0.720309025,0.9548645447,0.2970415816,1
2014,1,6170,8.7274541169,0.1873813146,0.9822872507,-0.992114701,0.1253332336,1
2014,2,8163,9.0073670275,-0.910105971,-0.414375581,0.8509944818,-0.52517463,1
2014,3,8718,9.0731451328,0.8639234172,-0.503623202,-0.556875616,0.8305958992,1
2014,4,7741,8.9542861572,-0.087851197,0.9961336091,0.1626371652,-0.986685944,1
2014,5,7839,8.9668665542,-0.762442511,-0.647055962,0.2608415063,0.9653816388,1
2014,6,7685,8.947025656,0.9685831611,-0.248689887,-0.63742399,-0.770513243,1
2014,7,7804,8.9623917017,-0.356411879,0.9343289425,0.8994052516,0.4371157667,1
2014,8,8089,8.998260393,-0.556875616,-0.830595899,-0.999684189,-0.025130095,1
2014,9,7731,8.9529934993,0.9996841893,0.0251300954,0.9202318474,-0.391373667,1
2014,10,8087,8.9980131131,-0.597904983,0.8015669849,-0.675332808,0.7375131174,1
2014,11,6955,8.8472161044,-0.309016994,-0.951056516,0.3090169944,-0.951056516,1
2014,12,7140,8.8734680553,0.9548645447,0.2970415816,0.1128563849,0.9936113105,1
2015,1,7604,8.9364297036,-0.793990399,0.6079302977,-0.514439534,-0.857526656,1
2015,2,9317,9.1395959675,-0.037690183,-0.999289473,0.8235325976,0.5672689491,1
2015,3,9583,9.1677459743,0.83752804,0.5463943467,-0.984564335,-0.175023059,1
2015,4,9229,9.1301059793,-0.929776486,0.3681245527,0.9685831611,-0.248689887,1
2015,5,8804,9.0829614426,0.236498997,-0.971631733,-0.778462302,0.6276913613,1
2015,6,8596,9.0590522578,0.6565857558,0.7542513807,0.4483832161,-0.893841424,1
2015,7,8639,9.0640421144,-0.994951017,0.1003617149,-0.037690183,0.9992894726,1
2015,8,8612,9.0609118585,0.4927273415,-0.870183755,-0.379779096,-0.925077207,1
2015,9,7920,8.9771464848,0.4257792916,0.9048270525,0.7289686274,0.6845471059,1
2015,10,8137,9.0041768407,-0.984564335,-0.175023059,-0.947098305,-0.32094361,1
2015,11,7383,8.9069353391,0.7115356772,-0.70264997,0.994951017,-0.100361715,1
2015,12,7269,8.8913740095,0.1626371652,0.9866859442,-0.863923417,0.5036232016,1
2016,1,7824,8.9649512117,-0.899405252,-0.437115767,0.5775727034,-0.816339251,1
2016,2,10520,9.2610334863,0.87630668,-0.481753674,-0.187381315,0.9822872507,1
2016,3,10192,9.2293583778,-0.112856385,0.9936113105,-0.236498997,-0.971631733,1
2016,4,9319,9.1398106058,-0.745941145,-0.666011867,0.6178596131,0.7862884321,1
2016,5,8701,9.0711932406,0.9745268728,-0.224270761,-0.888136449,-0.459579861,1
2016,6,9114,9.1175669718,-0.379779096,0.9250772068,0.9987369566,0.0502443182,1
2016,7,8954,9.0998556388,-0.535826795,-0.844327926,-0.929776486,0.3681245527,1
2016,8,9507,9.1597836484,0.9987369566,0.0502443182,0.6936533058,-0.720309025,1
2016,9,8613,9.0610279688,-0.617859613,0.7862884321,-0.332819545,0.9429905359,1
2016,10,8986,9.1034230896,-0.285019262,-0.958521789,-0.087851197,-0.996133609,1
2016,11,8028,8.9906907099,0.947098305,0.3209436098,0.4927273415,0.8701837547,1
2016,12,8633,9.0633473482,-0.809016994,0.5877852523,-0.809016994,-0.587785252,1
2017,1,8656,9.0660080011,-0.01256604,-0.999921044,0.9798550524,0.1997099805,1
2017,2,9769,9.1869693857,0.8235325976,0.5672689491,-0.974526873,0.2242707609,1
2017,3,11141,9.3183872761,-0.938733858,0.3446429232,0.7939903986,-0.607930298,1
2017,4,9389,9.1472940703,0.2608415063,-0.965381639,-0.470703932,0.8822912264,1
2017,5,9883,9.1985713884,0.6374239897,0.7705132428,0.0627905195,-0.998026728,1
2017,6,9933,9.2036178262,-0.9971589,0.0753268055,0.3564118787,0.9343289425,1
2017,7,9679,9.1777138691,0.5144395338,-0.857526656,-0.711535677,-0.70264997,1
2017,8,9789,9.1890145853,0.4029064357,0.9152411726,0.9387338577,0.3446429232,1
