sales,time,month,logsales,obs96,c1,s1,c2,s2,c3,s3,c4,s4,c5,s5,c6,wtgrant
601,126,6,6.39859493,0,-1,-9.8e-16,1,1.96e-15,-1,-2.9e-15,1,3.92e-15,-1,-4.9e-15,1,1
608,127,7,6.41017488,0,-0.86603,-0.5,0.5,0.866025,-2.4e-15,-1,-0.5,0.866025,0.866025,-0.5,-1,1
617,128,8,6.42486902,0,-0.5,-0.86603,-0.5,0.866025,1,-7.8e-15,-0.5,-0.86603,-0.5,0.866025,1,1
550,129,9,6.30991828,0,-4.4e-15,-1,-1,8.82e-15,1.32e-14,1,1,-1.8e-14,-2.2e-14,-1,-1,1
616,130,10,6.42324696,0,0.5,-0.86603,-0.5,-0.86603,-1,1.86e-14,-0.5,0.866025,0.5,0.866025,1,1
673,131,11,6.51174533,0,0.866025,-0.5,0.5,-0.86603,4.41e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,1
1199,132,12,7.08924316,0,1,4.41e-15,1,8.82e-15,1,-9.8e-16,1,1.76e-14,1,7.85e-15,1,1
438,133,1,6.08221891,0,0.866025,0.5,0.5,0.866025,6.37e-15,1,-0.5,0.866025,-0.86603,0.5,-1,1
458,134,2,6.12686918,0,0.5,0.866025,-0.5,0.866025,-1,1.18e-14,-0.5,-0.86603,0.5,-0.86603,1,1
548,135,3,6.30627529,0,9.79e-16,1,-1,1.96e-15,-1.7e-14,-1,1,-3.9e-15,1.91e-14,1,-1,1
584,136,4,6.36990098,0,-0.5,0.866025,-0.5,-0.86603,1,5.88e-15,-0.5,0.866025,-0.5,-0.86603,1,1
639,137,5,6.45990445,0,-0.86603,0.5,0.5,-0.86603,-4.9e-16,1,-0.5,-0.86603,0.866025,0.5,-1,1
616,138,6,6.42324696,0,-1,6.37e-15,1,-1.3e-14,-1,4.9e-15,1,-2.5e-14,-1,-1.1e-14,1,1
614,139,7,6.41999493,0,-0.86603,-0.5,0.5,0.866025,-1e-14,-1,-0.5,0.866025,0.866025,-0.5,-1,1
647,140,8,6.47234629,0,-0.5,-0.86603,-0.5,0.866025,1,-1.6e-14,-0.5,-0.86603,-0.5,0.866025,1,1
588,141,9,6.37672695,0,-1.2e-14,-1,-1,2.35e-14,2.11e-14,1,1,-4.7e-14,-1.6e-14,-1,-1,1
648,142,10,6.4738907,0,0.5,-0.86603,-0.5,-0.86603,-1,-2e-15,-0.5,0.866025,0.5,0.866025,1,1
713,143,11,6.56948142,0,0.866025,-0.5,0.5,-0.86603,-3.4e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,1
1261,144,12,7.13966034,0,1,-2.9e-15,1,-5.9e-15,1,-8.8e-15,1,-1.2e-14,1,1.37e-14,1,1
483,145,1,6.18001665,0,0.866025,0.5,0.5,0.866025,1.42e-14,1,-0.5,0.866025,-0.86603,0.5,-1,1
483,146,2,6.18001665,0,0.5,0.866025,-0.5,0.866025,-1,1.96e-14,-0.5,-0.86603,0.5,-0.86603,1,1
593,147,3,6.3851944,0,-5.9e-15,1,-1,-1.2e-14,3.43e-15,-1,1,2.35e-14,-4.4e-14,1,-1,1
620,148,4,6.42971948,0,-0.5,0.866025,-0.5,-0.86603,1,-2e-15,-0.5,0.866025,-0.5,-0.86603,1,1
672,149,5,6.51025834,0,-0.86603,0.5,0.5,-0.86603,7.35e-15,1,-0.5,-0.86603,0.866025,0.5,-1,1
650,150,6,6.47697236,0,-1,-4.9e-16,1,9.82e-16,-1,1.27e-14,1,1.96e-15,-1,-1.7e-14,1,1
643,151,7,6.46614472,0,-0.86603,-0.5,0.5,0.866025,-1.8e-14,-1,-0.5,0.866025,0.866025,-0.5,-1,1
702,152,8,6.5539334,0,-0.5,-0.86603,-0.5,0.866025,1,-2.4e-14,-0.5,-0.86603,-0.5,0.866025,1,1
654,153,9,6.48310735,0,-4.9e-15,-1,-1,9.8e-15,4.86e-16,1,1,-2e-14,-1e-14,-1,-1,1
